playername,playername_original,league,_source_year,split,position,teamname,cluster_position,cluster,archetype,umap_x,umap_y,promoted_to_lec,win_rate,games_played,dpm_zscore,cspm_zscore,golddiffat15_zscore,win_rate_zscore
113,113,LFL,2024,Spring,jng,BK ROG Esports,0,0,High DPS | Farmer dominant | Lane bully | Early dominant | High performer,7.22427225112915,-0.7510091662406921,True,0.5454545454545454,22,1.9273198080648075,-0.2735735724170979,1.2738246800481892,0.4035212577646708
113,113,LFL,2024,Summer,jng,Karmine Corp Blue,0,0,High DPS | Farmer dominant | Lane bully | Early dominant | High performer,7.495385646820068,-0.6496008038520813,True,0.76,25,1.5231880225750627,-0.2333150007686491,0.998563251901692,1.3446336896801103
113,113,LVP SL,2025,Summer,jng,Barça eSports,2,2,Profil neutre,9.816847801208496,2.263350486755371,False,0.2307692307692307,13,0.1722775211884848,-0.9171595236101474,-0.5395290237817135,-0.986465386733408
113,113,PRM,2026,Spring,jng,Berlin International Gaming,0,0,High DPS | Farmer dominant | Lane bully | Early dominant | High performer,5.618813514709473,-1.297003149986267,False,0.5789473684210527,19,1.398962956567111,0.4597849902713868,1.3304488010107325,0.5055238231539074
113,113,TCL,2026,Kickoff,jng,Misa Esports,0,0,High DPS | Farmer dominant | Lane bully | Early dominant | High performer,4.860552787780762,0.8815426826477051,False,0.9333333333333332,15,0.4413881250630491,0.578860140270634,0.1322528148009041,1.711221947013794
113,113,TCL,2026,Spring,jng,Misa Esports,0,0,High DPS | Farmer dominant | Lane bully | Early dominant | High performer,3.558612585067749,-1.6620290279388428,False,0.9523809523809524,21,1.7601730552576802,1.8404251475884783,2.067967586427246,1.9420537808695788
13,13,LFL2,2025,Spring,bot,Lille Esport,0,0,Profil équilibré,5.588262557983398,11.502802848815918,False,0.3571428571428571,14,0.8573675225004959,-1.753721966161799,0.5908818659506958,-0.5795570132405193
13,13,LFL2,2025,Winter,bot,Lille Esport,2,2,Profil neutre,5.120570659637451,11.243315696716309,False,0.3571428571428571,14,0.6586309786357203,-1.447141242639366,-0.5204143245232334,-0.2919217252057005
13,13,LVP SL,2025,Summer,bot,Movistar KOI Fénix,0,0,Profil équilibré,6.0141167640686035,15.28238296508789,False,0.5,18,-0.5071498640209643,-0.4554380701844449,-0.5762237877842816,0.2156537493932901
1334mat,1334mat,NLC,2026,Summer,jng,Lund Esports Organization,1,1,Profil neutre,8.810358047485352,0.9880817532539368,False,0.4615384615384615,13,0.3028920780460776,-0.7070722196315786,-0.2635720616034083,0.0047038944496502
3xa,3XA,LFL,2025,Flash In,bot,Karmine Corp Blue,1,1,High DPS | Farmer dominant | Lane bully | Early dominant | High performer,8.03769302368164,16.238656997680664,False,0.7222222222222222,18,0.7563242253998133,0.2212960536765803,0.9746877710252424,1.3141942361676415
3xa,3XA,LFL,2025,Spring,bot,Karmine Corp Blue,1,1,High DPS | Farmer dominant | Lane bully | Early dominant | High performer,10.001458168029785,15.593586921691895,False,0.52,25,0.2982179134934729,0.9438593997740786,0.601743315335542,0.3705763827690567
3xa,3XA,LFL,2025,Summer,bot,Karmine Corp Blue,1,1,High DPS | Farmer dominant | Lane bully | Early dominant | High performer,10.392522811889648,15.916726112365723,False,0.6388888888888888,36,1.110183064760853,1.798639215118385,1.165322229382768,1.0640499412243676
3xa,3XA,LFL,2026,unknown,bot,French Flair,1,1,High DPS | Farmer dominant | Lane bully | Early dominant | High performer,10.032739639282227,14.345884323120117,False,0.68,25,-0.1304907701682969,1.2129353930941935,0.3977505021890751,1.276337046782269
3xa,3XA,LFL,2026,unknown,bot,Joblife,1,1,High DPS | Farmer dominant | Lane bully | Early dominant | High performer,9.530383110046387,13.620512008666992,False,0.5,6,-0.5351201671380194,1.7380686462846788,0.0151336821927947,0.265219940562413
42 nuker,42 Nuker,NLC,2024,unknown,jng,42 Gaming,2,2,Profil neutre,4.548173904418945,0.1367667019367218,False,0.0,6,-0.5113387463300743,0.292690763874094,-0.0670331961901104,-2.256194011726573
abagnale,Abagnale,LFL2,2024,Spring,sup,Akroma,0,0,Profil neutre,2.900317430496216,3.618354558944702,False,0.1666666666666666,6,-1.0077698680556495,-0.0497684457649505,-0.3336999403105002,-1.4142135623730951
abagnale,Abagnale,LFL2,2024,Summer,sup,Akroma,2,2,Farmer dominant | Lane bully | Early dominant,3.0634922981262207,3.070190668106079,False,0.3888888888888889,18,-0.893222961840111,0.0323588030027077,0.4932224124811217,-0.357771019553686
abagnale,Abagnale,LFL2,2025,Spring,sup,Project Conquerors,0,0,Profil neutre,4.448279857635498,3.941410779953003,False,0.5454545454545454,22,-1.1060053432176336,0.6741124772292396,-0.7173501182556471,0.4605412734092697
abagnale,Abagnale,LFL2,2025,Summer,sup,Project Conquerors,2,2,Farmer dominant | Lane bully | Early dominant,6.5933732986450195,4.049408435821533,False,0.55,20,0.0961392150207371,0.5542909733463223,1.716440815156414,0.2811898991097208
abagnale,Abagnale,LFL2,2025,Winter,sup,Project Conquerors,1,1,High DPS | Versatile | High performer,5.767258644104004,3.8200109004974365,False,0.6551724137931034,29,0.9595582490698692,0.2465277566853414,-0.6673679505508948,0.9999301176883344
abbedagge,Abbedagge,LFL,2024,Summer,mid,Karmine Corp Blue,0,0,High DPS | Farmer dominant | Lane bully | Early dominant,8.749481201171875,3.5966198444366455,True,0.76,25,1.0946622580115832,0.1077317108632922,1.1979838815841928,1.3235487907103938
abbedagge,Abbedagge,PRM,2026,Spring,mid,Kaufland Hangry Knights,1,1,Profil neutre,4.526082515716553,2.2234725952148438,False,0.4193548387096774,31,-0.721983126461781,0.3580017997828787,-0.3311478605211285,-0.1305176457493138
abbedagge,Abbedagge,PRM,2026,Summer,mid,Kaufland Hangry Knights,1,1,Profil neutre,3.476616859436035,1.7405673265457153,False,0.45,20,-0.5090577320849033,-0.3388343330877325,-0.8011207169805603,-0.2354572995419766
abbedagge,Abbedagge,PRM,2026,Winter,mid,Kaufland Hangry Knights,0,0,High DPS | Farmer dominant | Lane bully | Early dominant,7.9677934646606445,2.589292049407959,False,0.4285714285714285,7,0.0094624485349062,1.149666153217249,0.3644670355589403,-0.2198138965481876
